type,subpopulation,indicator,statistic,n_resp,estimate,std_error,lcb95pct,ucb95pct
National,All_Sites,CHL,5Pct,57,1.078806535,NA,0.707645804,1.702528579
National,All_Sites,CHL,10Pct,125,1.836362947,NA,1.301699178,2.687094933
National,All_Sites,CHL,25Pct,338,4.608102084,NA,3.592531115,6.518527428
National,All_Sites,CHL,50Pct,608,15.105762,NA,12.17345984,18.54373853
National,All_Sites,CHL,75Pct,762,28.08081195,NA,24.30261847,40.73629703
National,All_Sites,CHL,90Pct,921,81.56053193,NA,66.90140704,94.07435631
National,All_Sites,CHL,95Pct,962,119.3600371,NA,86.98250042,206.4306688
National,All_Sites,CHL,Mean,1005,37.91086807,5.721782599,26.69638025,49.12535589
National,All_Sites,CHL,Variance,1005,22928.60386,15325.8321,0,52966.6828
National,All_Sites,CHL,Std. Deviation,1005,151.4219398,50.60637882,52.23525995,250.6086197
Regional,Region_1,CHL,5Pct,10,1.701126798,NA,0.326045625,2.116515175
Regional,Region_1,CHL,10Pct,17,2.243230877,NA,1.084958302,2.562657843
Regional,Region_1,CHL,25Pct,24,2.831346202,NA,2.240275996,3.646161364
Regional,Region_1,CHL,50Pct,39,4.490499208,NA,2.838891376,15.90873526
Regional,Region_1,CHL,75Pct,68,23.60971541,NA,3.881290941,115.2
Regional,Region_1,CHL,90Pct,69,26.14156505,NA,6.277182286,115.2
Regional,Region_1,CHL,95Pct,69,26.15943421,NA,6.43498724,115.2
Regional,Region_1,CHL,Mean,73,11.40362441,3.087170963,5.352880508,17.45436831
Regional,Region_1,CHL,Variance,73,242.5175413,99.19846765,48.09211735,436.9429652
Regional,Region_1,CHL,Std. Deviation,73,15.57297471,3.184955653,9.330576337,21.81537308
Regional,Region_2,CHL,5Pct,1,0.704027165,NA,0.303507415,0.709043961
Regional,Region_2,CHL,10Pct,1,0.709578578,NA,0.70082783,2.361442436
Regional,Region_2,CHL,25Pct,6,2.674570001,NA,0.70078231,3.646962567
Regional,Region_2,CHL,50Pct,10,3.647961465,NA,1.13675172,24.38114426
Regional,Region_2,CHL,75Pct,17,24.34686295,NA,2.670933253,110
Regional,Region_2,CHL,90Pct,17,24.38512553,NA,3.019095885,110
Regional,Region_2,CHL,95Pct,17,24.39787973,NA,3.026496904,110
Regional,Region_2,CHL,Mean,21,14.87918827,4.408135553,6.239401344,23.51897519
Regional,Region_2,CHL,Variance,21,395.9545993,198.1883744,7.512523396,784.3966753
Regional,Region_2,CHL,Std. Deviation,21,19.89860798,4.97995575,10.13807406,29.65914189
Regional,Region_3,CHL,5Pct,12,4.236203608,NA,1.90184947,4.83295873
Regional,Region_3,CHL,10Pct,15,5.100457334,NA,1.9161437,10.24716421
Regional,Region_3,CHL,25Pct,28,17.68807821,NA,4.455400784,18.01517546
Regional,Region_3,CHL,50Pct,31,18.02868641,NA,11.67278627,26.3997643
Regional,Region_3,CHL,75Pct,39,25.92579949,NA,18.04060868,53.92491107
Regional,Region_3,CHL,90Pct,47,42.17270304,NA,26.39741112,105.4972344
Regional,Region_3,CHL,95Pct,56,86.93796655,NA,34.36874503,105.55
Regional,Region_3,CHL,Mean,60,23.15046363,3.153660355,16.96940292,29.33152435
Regional,Region_3,CHL,Variance,60,404.862962,187.3987468,37.56816757,772.1577564
Regional,Region_3,CHL,Std. Deviation,60,20.12120677,4.656747204,10.99414997,29.24826358
Regional,Region_4,CHL,5Pct,0,0.974157492,NA,0.972663256,0.975651728
Regional,Region_4,CHL,10Pct,0,0.978314984,NA,0.975326513,1.069163692
Regional,Region_4,CHL,25Pct,17,4.487821772,NA,0.976243744,12.94543663
Regional,Region_4,CHL,50Pct,35,12.98839785,NA,8.868836848,24.80069891
Regional,Region_4,CHL,75Pct,64,37.41217918,NA,15.11702147,85.85824212
Regional,Region_4,CHL,90Pct,85,85.70299445,NA,38.0352416,119.6
Regional,Region_4,CHL,95Pct,85,86.35469344,NA,45.42883307,119.6
Regional,Region_4,CHL,Mean,89,25.89276549,6.304845542,13.5354953,38.25003567
Regional,Region_4,CHL,Variance,89,943.5427445,358.6368318,240.6274706,1646.458018
